Stock Symbol,Company Name,ISIN Code,Qty,Average Cost Price,Current Market Price,% Change over prev close,Value At Cost,Value At Market Price,Realized Profit / Loss,Unrealized Profit/Loss,Unrealized Profit/Loss %,
ASHLEY,ASHOK LEYLAND LTD,INE208A01029,106,98.98,155.44,- 5.00,10491.88,16476.64,0.00,5984.76,57.04,
TATCAP,TATA CAPITAL LIMITED,INE976I01016,46,326.00,305.90,- 1.45,14996.00,14071.40,0.00,-924.60,(6.17),
FEDBAN,FEDERAL BANK LTD,INE171A01029,48,149.89,288.95,+ 0.02,7194.72,13869.60,0.00,6674.88,92.77,
HDFBAN,HDFC BANK LIMITED,INE040A01034,130,736.01,744.55,- 1.86,95681.30,96791.50,0.00,1110.20,1.16,
LGELEC,LG ELECTRONICS INDIA LTD,INE324D01010,13,1140.00,1523.90,- 0.16,14820.00,19810.70,0.00,4990.70,33.68,
HDF250,HDFC NIFTY Smallcap 250 ETF,INF179KC1FB2,9,168.83,170.66,- 0.71,1519.47,1535.94,0.00,16.47,1.08,
ICIGOL,ICICI PRUDENTIAL GOLD ETF,INF109KC1NT3,250,138.74,133.12,- 0.31,34685.00,33280.00,0.00,-1405.00,(4.05),
ICINIF,ICICI PRUDENTIAL NIFTY 50 ETF,INF109K012R6,36,271.19,266.01,- 1.30,9762.84,9576.36,0.00,-186.48,(1.91),
ICIPSE,ICICI PRUDENTIAL SILVER ETF,INF109KC1Y56,193,251.26,260.35,- 0.25,48493.18,50247.55,0.00,1754.37,3.62,
NIPNIT,NIPPON INDIA ETF NIFTY IT,INF204KB15V2,36,32.65,32.27,+ 0.66,1175.40,1161.72,0.00,-13.68,(1.16),
BHAELE,BHARAT ELECTRONICS LTD,INE263A01024,80,157.83,410.75,- 1.99,12626.40,32860.00,0.00,20233.60,160.25,
TATGLO,TATA CONSUMER PRODUCTS LIMITED,INE192A01025,30,800.62,1178.40,- 2.17,24018.60,35352.00,0.00,11333.40,47.19,
JIOFIN,JIO FINANCIAL SERVICES LIMITED,INE758E01017,53,232.18,238.95,- 1.62,12305.54,12664.35,0.00,358.81,2.92,
WIPRO,WIPRO LTD,INE075A01022,220,236.41,204.25,+ 1.32,52010.20,44935.00,0.00,-7075.20,(13.60),
ENGIND,ENGINEERS INDIA LTD,INE510A01028,21,178.51,231.70,- 1.15,3748.71,4865.70,0.00,1116.99,29.80,
LIC,LIFE INSURANCE CORP OF IND LIC,INE0J1Y01017,80,898.01,411.35,- 0.88,71840.80,32908.00,0.00,-38932.80,(54.19),
MIR150,MIRAE ASSET NIF MIDCAP 150 ETF,INF769K01IC9,72,22.76,23.04,- 1.45,1638.72,1658.88,0.00,20.16,1.23,
DRREDD,DR REDDYS LABORATORIES LTD,INE089A01031,6,1187.61,1303.50,- 1.18,7125.66,7821.00,0.00,695.34,9.76,
SEQSCI,VIYASH SCIENTIFIC LIMITED,INE807F01027,10,123.45,261.94,+ 4.67,1234.50,2619.40,0.00,1384.90,112.18,
JSWENE,JSW ENERGY LIMITED,INE121E01018,54,508.70,595.05,- 1.16,27469.80,32132.70,0.00,4662.90,16.97,
NHPC,NHPC LIMITED,INE848E01016,55,58.42,78.87,- 2.24,3213.10,4337.85,0.00,1124.75,35.01,
NTPC,NTPC LIMITED,INE733E01010,12,277.23,386.90,- 2.83,3326.76,4642.80,0.00,1316.04,39.56,
NTPGRE,NTPC GREEN ENERGY LIMITED,INE0ONG01011,138,108.00,103.52,- 0.78,14904.00,14285.76,0.00,-618.24,(4.15),
SJVLIM,SATLUJ JAL VIDYUT NIGAM LTD,INE002L01015,67,87.59,75.16,- 0.48,5868.53,5035.72,0.00,-832.81,(14.19),
TATPOW,TATA POWER CO LTD,INE245A01021,8,283.54,420.75,- 1.19,2268.32,3366.00,0.00,1097.68,48.39,
GAIL,GAIL (INDIA) LIMITED,INE129A01019,61,155.55,164.51,- 2.66,9488.55,10035.11,0.00,546.56,5.76,
GUJGA,GUJARAT GAS LIMITED,INE844O01030,7,468.21,401.15,+ 8.48,3277.47,2808.05,0.00,-469.42,(14.32),
HINPET,HINDUSTAN PETROLEUM CORP,INE094A01015,14,372.01,393.85,- 2.25,5208.14,5513.90,0.00,305.76,5.87,
ONGC,OIL AND NATURAL GAS CORPORATIO,INE213A01029,39,243.53,265.40,- 3.16,9497.67,10350.60,0.00,852.93,8.98,
PETLNG,PETRONET LNG LIMITED,INE347G01014,14,315.60,271.05,- 2.78,4418.40,3794.70,0.00,-623.70,(14.12),
RELIND,RELIANCE INDUSTRIES,INE002A01018,76,1158.69,1321.20,- 2.17,88060.44,100411.20,0.00,12350.76,14.03,
GUJPPL,GUJARAT PIPAVAV PORT LIMITED,INE517F01014,20,85.38,157.35,- 1.11,1707.60,3147.00,0.00,1439.40,84.29,
IDECEL,VODAFONE IDEA LIMITED,INE669E01016,1500,7.39,13.99,- 1.34,11085.00,20985.00,(668.99),9900.00,89.31,
