symbol,original_run_timestamp,signal,price_at_signal,price_5d_after,return_5d_pct,price_10d_after,return_10d_pct,price_20d_after,return_20d_pct,scored_at
ASHLEY,2026-05-31,🔴 STRG SELL,155.44,141.02,-9.28,157.7,1.45,157.36,1.24,2026-09-21 20:51:08 IST
TATCAP,2026-05-31,🟡 HOLD,305.9,312.03,2.0,340.13,11.19,368.48,20.46,2026-09-21 20:51:08 IST
FEDBAN,2026-05-31,🟢 ACCUMULATE,288.95,303.56,5.06,316.02,9.37,322.95,11.77,2026-09-21 20:51:08 IST
HDFBAN,2026-05-31,🔴 STRG SELL,744.55,726.63,-2.41,764.7,2.71,798.9,7.3,2026-09-21 20:51:08 IST
LGELEC,2026-05-31,🟡 HOLD,1523.9,1519.9,-0.26,1529.2,0.35,1566.9,2.82,2026-09-21 20:51:08 IST
HDF250,2026-05-31,🟡 HOLD,170.66,168.57,-1.22,174.24,2.1,177.18,3.82,2026-09-21 20:51:08 IST
ICIGOL,2026-05-31,🟢 ACCUMULATE,128.65,128.37,-0.22,128.75,0.08,120.1,-6.65,2026-09-21 20:51:08 IST
ICINIF,2026-05-31,🟡 HOLD,266.01,273.42,2.79,269.6,1.35,,,2026-09-21 20:51:08 IST
ICIPSE,2026-05-31,🟢 ACCUMULATE,249.37,238.4,-4.4,249.04,-0.13,216.88,-13.03,2026-09-21 20:51:08 IST
NIPNIT,2026-05-31,🔴 STRG SELL,266.01,31.73,-88.07,31.19,-88.27,30.02,-88.71,2026-09-21 20:51:08 IST
BHAELE,2026-05-31,🔴 STRG SELL,410.75,412.39,0.4,408.99,-0.43,411.04,0.07,2026-09-21 20:51:08 IST
TATGLO,2026-05-31,🟡 HOLD / RISK,1178.4,1107.0,-6.06,1100.4,-6.62,1112.8,-5.57,2026-09-21 20:51:08 IST
JIOFIN,2026-05-31,🔴 STRG SELL,238.95,228.33,-4.44,238.96,0.0,236.16,-1.17,2026-09-21 20:51:08 IST
WIPRO,2026-05-31,🔴 STRG SELL,204.25,179.71,-12.01,179.33,-12.2,173.5,-15.06,2026-09-21 20:51:08 IST
ENGIND,2026-05-31,🟢 ACCUMULATE,231.7,239.37,3.31,236.07,1.89,244.47,5.51,2026-09-21 20:51:08 IST
LIC,2026-05-31,🔴 STRG SELL,411.35,386.44,-6.06,396.41,-3.63,431.25,4.84,2026-09-21 20:51:08 IST
MIR150,2026-05-31,🟡 HOLD,31.6,22.37,-29.21,23.1,-26.9,23.28,-26.33,2026-09-21 20:51:08 IST
DRREDD,2026-05-31,🟢 ACCUMULATE,1303.5,1267.56,-2.76,1271.44,-2.46,1367.03,4.87,2026-09-21 20:51:08 IST
SEQSCI,2026-05-31,🟢 ACCUMULATE,1111.8,251.8,-77.35,249.95,-77.52,269.8,-75.73,2026-09-21 20:51:08 IST
JSWENE,2026-05-31,🟡 HOLD / RISK,595.05,570.95,-4.05,566.25,-4.84,586.25,-1.48,2026-09-21 20:51:08 IST
NHPC,2026-05-31,🔴 STRG SELL,78.87,73.31,-7.05,74.49,-5.55,81.35,3.14,2026-09-21 20:51:08 IST
NTPC,2026-05-31,🟡 HOLD,386.9,358.53,-7.33,344.38,-10.99,352.29,-8.95,2026-09-21 20:51:08 IST
