Stock Symbol,Thesis,Conviction,Invalidation_Price,Last_Updated
ASHLEY,NOT YET SET,,,2026-09-25
TATCAP,NOT YET SET,,,2026-09-25
FEDBAN,NOT YET SET,,,2026-09-25
HDFBAN,NOT YET SET,,,2026-09-25
LGELEC,NOT YET SET,,,2026-09-25
HDF250,NOT YET SET,,,2026-09-25
ICIGOL,NOT YET SET,,,2026-09-25
ICINIF,NOT YET SET,,,2026-09-25
ICIPSE,NOT YET SET,,,2026-09-25
NIPNIT,NOT YET SET,,,2026-09-25
BHAELE,NOT YET SET,,,2026-09-25
TATGLO,NOT YET SET,,,2026-09-25
JIOFIN,NOT YET SET,,,2026-09-25
WIPRO,NOT YET SET,,,2026-09-25
ENGIND,NOT YET SET,,,2026-09-25
LIC,NOT YET SET,,,2026-09-25
MIR150,NOT YET SET,,,2026-09-25
DRREDD,NOT YET SET,,,2026-09-25
SEQSCI,NOT YET SET,,,2026-09-25
JSWENE,NOT YET SET,,,2026-09-25
NHPC,NOT YET SET,,,2026-09-25
NTPC,NOT YET SET,,,2026-09-25
NTPGRE,NOT YET SET,,,2026-09-25
SJVLIM,NOT YET SET,,,2026-09-25
TATPOW,NOT YET SET,,,2026-09-25
GAIL,NOT YET SET,,,2026-09-25
GUJGA,NOT YET SET,,,2026-09-25
HINPET,NOT YET SET,,,2026-09-25
ONGC,NOT YET SET,,,2026-09-25
PETLNG,NOT YET SET,,,2026-09-25
RELIND,NOT YET SET,,,2026-09-25
GUJPPL,NOT YET SET,,,2026-09-25
IDECEL,NOT YET SET,,,2026-09-25
