Date,Stock Symbol,Action,Qty,Price,Notes
2022-01-28,ASHLEY,BUY,2,133.55,upstox order book import
2022-02-28,ASHLEY,BUY,2,118.5,upstox order book import
2022-03-31,ASHLEY,BUY,2,117.2,upstox order book import
2022-05-02,ASHLEY,BUY,2,126.25,upstox order book import
2022-05-31,ASHLEY,BUY,2,137.85,upstox order book import
2022-06-30,ASHLEY,BUY,2,147.3,upstox order book import
2022-08-01,ASHLEY,BUY,2,153.7,upstox order book import
2022-09-01,ASHLEY,BUY,2,161.8,upstox order book import
2022-09-30,ASHLEY,BUY,2,152.75,upstox order book import
2022-10-31,ASHLEY,BUY,2,152.25,upstox order book import
2024-05-15,ASHLEY,BUY,2,201.0,upstox order book import
2024-05-22,ASHLEY,BUY,2,210.1,upstox order book import
2024-05-29,ASHLEY,BUY,2,222.9,upstox order book import
2024-06-05,ASHLEY,BUY,2,216.7,upstox order book import
2024-06-12,ASHLEY,BUY,2,240.0,upstox order book import
2024-06-19,ASHLEY,BUY,2,233.85,upstox order book import
2024-06-26,ASHLEY,BUY,2,242.75,upstox order book import
2024-07-03,ASHLEY,BUY,2,229.3,upstox order book import
2024-07-10,ASHLEY,BUY,2,226.05,upstox order book import
2024-07-18,ASHLEY,BUY,2,228.2,upstox order book import
2024-07-24,ASHLEY,BUY,2,228.95,upstox order book import
2024-07-31,ASHLEY,BUY,2,256.85,upstox order book import
2024-08-07,ASHLEY,BUY,2,246.2,upstox order book import
2024-08-14,ASHLEY,BUY,2,247.05,upstox order book import
2024-10-14,ASHLEY,BUY,5,227.37,upstox order book import
2023-02-07,AWL,SELL,65,398.9,upstox order book import
2022-01-28,BHAELE,BUY,2,209.8,upstox order book import
2022-02-28,BHAELE,BUY,2,207.7,upstox order book import
2022-03-31,BHAELE,BUY,2,207.4,upstox order book import
2022-05-02,BHAELE,BUY,2,237.05,upstox order book import
2022-05-31,BHAELE,BUY,2,233.45,upstox order book import
2022-06-30,BHAELE,BUY,2,233.6,upstox order book import
2022-08-01,BHAELE,BUY,2,277.3,upstox order book import
2022-09-01,BHAELE,BUY,2,318.15,upstox order book import
2022-09-30,BHAELE,BUY,2,100.15,upstox order book import
2022-10-31,BHAELE,BUY,2,106.45,upstox order book import
2024-05-15,BHAELE,BUY,2,230.55,upstox order book import
2024-05-22,BHAELE,BUY,2,279.35,upstox order book import
2024-05-29,BHAELE,BUY,2,290.4,upstox order book import
2024-06-05,BHAELE,BUY,2,249.1,upstox order book import
2024-06-12,BHAELE,BUY,2,290.75,upstox order book import
2024-06-19,BHAELE,BUY,2,311.65,upstox order book import
2024-06-26,BHAELE,BUY,2,308.65,upstox order book import
2024-07-03,BHAELE,BUY,2,309.3,upstox order book import
2024-07-10,BHAELE,BUY,2,332.25,upstox order book import
2024-07-18,BHAELE,BUY,2,316.25,upstox order book import
2024-07-24,BHAELE,BUY,2,301.7,upstox order book import
2024-07-31,BHAELE,BUY,2,317.85,upstox order book import
2024-08-07,BHAELE,BUY,2,295.0,upstox order book import
2024-08-14,BHAELE,BUY,2,293.1,upstox order book import
2025-02-03,DRREDD,BUY,2,1210.95,upstox order book import
2025-02-10,DRREDD,BUY,2,1225.2,upstox order book import
2025-03-12,DRREDD,BUY,2,1099.95,upstox order book import
2024-10-15,ENGIND,BUY,3,194.27,upstox order book import
2024-11-18,ENGIND,BUY,3,180.5,upstox order book import
2024-12-16,ENGIND,BUY,3,202.7,upstox order book import
2025-01-15,ENGIND,BUY,3,177.47,upstox order book import
2025-02-17,ENGIND,BUY,3,156.56,upstox order book import
2025-03-17,ENGIND,BUY,3,159.4,upstox order book import
2025-04-15,ENGIND,BUY,3,168.45,upstox order book import
2022-01-28,FEDBAN,BUY,2,101.7,upstox order book import
2022-02-28,FEDBAN,BUY,2,96.9,upstox order book import
2022-03-31,FEDBAN,BUY,2,98.1,upstox order book import
2022-05-02,FEDBAN,BUY,2,94.2,upstox order book import
2022-05-31,FEDBAN,BUY,2,89.5,upstox order book import
2022-06-30,FEDBAN,BUY,2,90.75,upstox order book import
2022-08-01,FEDBAN,BUY,2,107.5,upstox order book import
2022-09-01,FEDBAN,BUY,2,118.8,upstox order book import
2022-09-30,FEDBAN,BUY,2,117.2,upstox order book import
2022-10-31,FEDBAN,BUY,2,131.0,upstox order book import
2024-05-15,FEDBAN,BUY,2,162.4,upstox order book import
2024-05-22,FEDBAN,BUY,2,161.7,upstox order book import
